"gamma1_true","replicate","n_events","mu_hat","alpha_hat","beta_hat","branching_hat","neg_loglik","convergence"
1.5,23,442,0.44306967315924,1.48826304571033,1.85951768866347,0.800348958648529,-207.279974980073,0
1.5,24,285,0.441711172644341,1.48394567386545,2.14646681525053,0.691343403644583,66.8136137083588,0
1.5,25,393,0.596904774479114,2.27318371815889,3.26485605337752,0.696258481536197,-86.2105646116306,0
1.5,26,294,0.572482497913663,1.72501394181956,2.82549163608044,0.610518155421802,64.2218975966132,0
1.5,27,314,0.454814400303736,1.31812052288876,1.85553814440306,0.710371019245635,43.5389148119731,0
1.5,28,255,0.318817319007989,0.908227057337485,1.20879571928796,0.751348671115805,75.5394111504516,0
1.5,29,328,0.347168112360331,1.74581544665579,2.21173241541579,0.789342975889598,-45.4572765633799,0
1.5,30,370,0.547170972665002,1.99345359161963,2.827307446054,0.705071390238029,-98.7855134664367,0
2,1,714,0.480483472461665,3.764522655547,4.33874785103521,0.867651862886846,-845.765360764088,0
2,2,1024,0.618271338371195,5.7205036923146,6.50495651505636,0.879406907497987,-2268.03350396095,0
2,3,576,0.724863865040417,2.92630885859602,3.90730288499081,0.748933201425693,-360.32054222993,0
2,4,568,0.533779489403339,2.90145125873478,3.56623639596936,0.813589155787334,-443.166437016474,0
2,5,1052,0.611136436385785,5.5816820460459,6.31617466067971,0.883712428155879,-2083.14088819323,0
2,6,852,0.734818465322845,4.14231139881022,5.00277475834663,0.828002778238055,-1330.78634484185,0
2,7,1022,0.565966575200843,4.80108786207262,5.39955255077239,0.88916402181989,-2077.22664873714,0
2,8,418,0.466568761989358,2.82153269250833,3.62852448709639,0.777597809396672,-266.528667390562,0
2,9,1031,0.518149738129916,5.37766685765699,5.97911490251202,0.899408515363647,-2565.49298931448,0
2,10,492,0.48269203200749,3.12213627438068,3.88446335047994,0.803749705604747,-337.62265123681,0
2,11,502,0.599142596281082,2.98749758095674,3.92355431802029,0.761426334085809,-352.308095863199,0
2,12,491,0.37887245807416,2.43498652795303,2.86960743602071,0.848543427016495,-471.633796698017,0
2,13,531,0.587831314888587,3.70328933333274,4.74164729009051,0.781013244294274,-508.046143987199,0
2,14,374,0.545855966342817,2.69735983703568,3.80878504388384,0.708194294494805,-69.9781762026329,0
2,15,873,0.547786854201447,3.48659455489994,3.98687556066534,0.874518028427778,-1418.40512725271,0
2,16,392,0.390141191752897,2.21759027777027,2.76716748456907,0.801393587535456,-173.464759402565,0
2,17,1320,0.703445631768831,6.50031688139696,7.27528177534564,0.893479741695385,-3626.25702084819,0
2,18,641,0.498898242470066,3.62255124196054,4.28351169417687,0.845696592094086,-734.531364303406,0
2,19,577,0.551963473654691,3.27953854027,4.05484693170827,0.808794658714371,-569.755711770211,0
2,20,875,0.588225710676726,5.99028663390546,6.92047729092019,0.865588655534618,-1855.02566768893,0
2,21,944,0.545692835806929,6.02140290984507,6.80773684964017,0.884494075320103,-2093.82708832675,0
2,22,854,0.627769955107817,3.92114333124601,4.59697706694042,0.852983009083355,-1318.58729595018,0
2,23,420,0.34189091178104,2.6802538352022,3.20132190764693,0.837233465588054,-320.218794175986,0
2,24,1305,0.832112878184652,10.3266706507289,11.8354029931864,0.872523787882333,-4650.0951126914,0
2,25,687,0.641449469224178,3.09601688989006,3.80248710895825,0.814208385505417,-755.935100812836,0
2,26,825,0.601895226954883,3.67241499814217,4.29988299733846,0.854073238833549,-1149.86385844323,0
2,27,1324,0.547876684978544,7.84997438026816,8.5596819560919,0.917087155870477,-4307.89103193277,0
2,28,506,0.551546891813693,2.6446965711686,3.37864330947778,0.782768800645423,-334.81781811186,0
2,29,431,0.480211437917865,3.34480435738604,4.30147682664814,0.777594415170295,-391.342685488111,0
2,30,460,0.530306683745981,3.99302893948381,5.18677369739428,0.769848305024338,-389.953867415046,0
