"rep","case","n_events","true_alpha","est_alpha","true_beta","est_beta","true_branching","est_branching","poisson_loglik","hawkes_loglik","lrt_stat","convergence","error"
44,"td_baseline_negative_control",262,0,0.0128632249298409,1.5,0.607419208554551,0,0.0211768491161992,-418.741441454073,-418.648689737397,0.185503433351641,0,FALSE
44,"td_baseline_positive_control",432,0.6,0.786284107664579,1.5,1.88200066731124,0.4,0.417791620014631,-512.413585031512,-405.208672983368,214.409824096288,0,FALSE
45,"td_baseline_negative_control",279,0,0.0274812881974574,1.5,0.263229242332852,0,0.104400589972096,-415.129499219362,-413.100608788599,4.05778086152532,0,FALSE
45,"td_baseline_positive_control",430,0.6,0.455273115245461,1.5,1.18907592321064,0.4,0.382879769372651,-519.305905593629,-447.477665285706,143.656480615847,0,FALSE
46,"td_baseline_negative_control",235,0,8.95059222436262e-10,1.5,5156791.86965068,0,1.73569002794928e-16,-395.513502518267,-395.513502518267,0,0,FALSE
46,"td_baseline_positive_control",467,0.6,0.446551092648247,1.5,1.03203901199605,0.4,0.432688190521577,-538.627570983496,-443.76470197174,189.725738023513,0,FALSE
47,"td_baseline_negative_control",270,0,0.00024617769019458,1.5,0.000276301610172537,0,0.890974504422373,-422.802646650176,-421.979873955163,1.64554539002688,0,FALSE
47,"td_baseline_positive_control",386,0.6,0.704987815208932,1.5,1.94379081033206,0.4,0.362687081069438,-504.700164571617,-431.486696121798,146.426936899637,0,FALSE
48,"td_baseline_negative_control",263,0,1.16516808101541e-10,1.5,329253.755943042,0,3.53881485020015e-16,-414.190694902812,-414.190694902812,0,0,FALSE
48,"td_baseline_positive_control",365,0.6,0.364795056936437,1.5,1.12910193928744,0.4,0.323084253284212,-476.606114706229,-434.36548580497,84.4812578025167,0,FALSE
49,"td_baseline_negative_control",268,0,0.00125108529434623,1.5,0.0149200538712872,0,0.0838525990012593,-424.674166502678,-423.75252694599,1.84327911337516,0,FALSE
49,"td_baseline_positive_control",493,0.6,0.361359244099029,1.5,0.74493097924794,0.4,0.485090906628486,-562.232139041048,-437.031501071587,250.401275938922,0,FALSE
50,"td_baseline_negative_control",224,0,0.0797335165992551,1.5,14.259060505101,0,0.00559177910569432,-389.472193347806,-389.40994066028,0.124505375053218,0,FALSE
50,"td_baseline_positive_control",377,0.6,0.41361432597185,1.5,1.24332531886499,0.4,0.332667822086525,-489.827096165594,-443.05494010984,93.5443121115082,0,FALSE
